,time,u_time,n_sim,u_n_sim,time_per_sim,u_time_per_sim,efficiency,u_efficiency
Generate,17.0,20.839865642561133,4000.0,2549.5097567963926,17.0,20.839865642561133,1.0,0.0
Propagate,77.0,64.24017434596516,4000.0,2549.5097567963926,77.0,64.24017434596516,1.0,0.0
Calculate Energy,605.0,339.6766109110252,4000.0,2549.5097567963926,605.0,339.6766109110252,1.0,0.0
Select Energy,12.0,8.467585252006618,1.0,0.0,12.0,8.467585252006618,0.00025,0.0003578960312171647
Photons,37.0,31.540450218727063,1.0,0.0,37.0,31.540450218727063,1.0,0.0
Detector,60.0,24.913851568956577,1.0,0.0,60.0,24.913851568956577,1.0,0.0
L1,158.0,96.88756370143695,1.0,0.0,158.0,96.88756370143695,1.0,0.0
L2,56.0,38.79690709322072,1.0,0.0,56.0,38.79690709322072,1.0,0.0
total,1022.0,620.2284256626747,1.0,0.0,1022.0,620.2284256626747,0.00025,0.0003578960312171647
