,time,u_time,n_sim,u_n_sim,time_per_sim,u_time_per_sim,efficiency,u_efficiency
Generate,2904.0,91.1886323324715,80.0,9.453394452082632,780.0666666666666,463.70443671548975,0.00015999999999999999,1.8906788904165256e-05
Propagate,11.5,6.81175454637056,80.0,9.453394452082632,4.357142857142858,1.9728773144722365,1.0,0.0
Photons,1774.5,440.2405781691036,80.0,9.453394452082632,406.5,360.4577373870297,1.0,0.0
Detector,96.0,24.47856204927079,74.5,8.167006795638168,20.866666666666667,22.672966394802284,0.9133083411433927,0.02309912906049535
L1,746.5,391.92435494620645,74.5,8.167006795638168,207.0,226.07899558538816,1.0,0.0
L2,339.5,92.77661343248093,74.5,7.704976746666187,77.21428571428572,67.55961841822618,1.0,0.006017425447260986
Charge selection,2.0,0.0,4.0,2.3380903889000244,0.5333333333333333,0.3351875863826162,0.05519480519480519,0.029946749000489607
total,6293.5,679.7027781807772,4.0,2.3380903889000244,1484.2666666666667,1064.617081642654,8.000000000000001e-06,4.676180777800048e-06
