,time,u_time,n_sim,u_n_sim,time_per_sim,u_time_per_sim,efficiency,u_efficiency
Generate,2704.0,2331.9520333219302,155.0,9.136530549184984,480.1666666666667,249.24311966318942,0.00031,1.8273061098369978e-05
Propagate,14.0,2.2253945610567474,155.0,9.136530549184984,2.111111111111111,0.9220862048625519,1.0,0.0
Photons,17423.0,2931.59739488803,155.0,9.136530549184984,1935.2222222222222,1286.062571812874,1.0,0.0
Detector,164.0,41.40048308896891,140.0,8.434622525214577,17.88888888888889,12.469669793325057,0.9060402684563759,0.019898635869202572
L1,2888.0,979.7957027093042,140.0,8.434622525214577,320.8888888888889,380.259071350214,1.0,0.0
L2,1932.0000000000002,667.200797932605,139.0,7.967194642795572,203.2,175.5805134953341,0.9923664122137404,0.00919861986923211
Charge selection,2.0,0.0,9.0,4.375255094603872,0.2222222222222222,0.1406139037246777,0.07086614173228346,0.03004366566073779
total,26959.0,3851.245945578305,9.0,4.375255094603872,2741.3333333333335,1976.6216666082948,1.8e-05,8.750510189207746e-06
