,time,u_time,n_sim,u_n_sim,time_per_sim,u_time_per_sim,efficiency,u_efficiency
Generate,3.0,2.330951164939612,500.0,0.0,0.18333333333333335,0.18429836714694736,1.0,0.0
Propagate,22.0,5.743595467030115,500.0,0.0,1.2625,0.6137414270721919,1.0,0.0
Calculate Energy,80.5,21.706373871899164,500.0,0.0,5.607142857142858,1.9137421627307067,1.0,0.0
Select Energy,3.0,1.6363916944844774,15.0,4.417138339593985,0.23214285714285715,0.09698026338003404,0.03,0.008834276679187972
Photons,194.0,76.87370595116816,15.0,4.417138339593985,12.525,2.115289787323179,1.0,0.0
Detector,52.5,16.42356031234803,15.0,4.417138339593985,3.121666666666667,1.3713659442109343,1.0,0.0
L1,125.50000000000001,29.144086497568896,15.0,4.417138339593985,7.357142857142858,1.3942437002607564,1.0,0.0
L2,70.5,21.73476477903545,15.0,4.417138339593985,4.392857142857143,0.5473208850131519,1.0,0.0
total,563.0,119.39295531051143,15.0,4.417138339593985,36.79833333333333,4.487974464730814,0.03,0.008834276679187972
