OVERVIEW OF GCNed CANDIDATES,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
IceCube event,IceCube GCN,Our ATel(s)/GCN(s),sep. from plane,Candidate Names,Candidate IAU Names,Classification,Max Brightness g,Max brightness r,Brightness at neutrino arrival g,Brightness at neutrino arrival r,number of detection days,Fritz Link,Notes,SUMMARY,,,,,,,,,,
,,,,ZTF20abdnpbp,AT2020llr,infant SN?,20.75,20.69,20.87,20.69,4,,"looks nuclear, absmag is -20, first detection 1 day prior to neutrino",,,,CDF,,,,,,,
,,,,ZTF20abdnpbq,AT 2020lpw,,20.99,20.97,20.03,20.97,5,,30 days activity prior,,,,Brightness @ nu arrival,Bin eintries,,,,,,
,,,,ZTF20abdnpbu,AT 2020lpx,,21.04,,21.36,,4,,"fading, only visible in g",,,,18,0,,,,,,
,,,,ZTF20aawyens,AT 2020lpp,AGN??,20.66,20.02,20.13,,6,,"looks a bit weird, prior detections, could be nuclear",,,,18.5,0,,,,,,
,,,,ZTF20aaxcdok,AT 2020lpq,SN?,20.25,20.12,,21.58,11,,"40 day old detections in all bands, fading",,,,19,0,,,,,,
,,,,ZTF20abaofgz,AT 2020lpr,AGN?,20.64,20.35,,20.56,20,,Very faint host,,,,19.5,0,,,,,,
,,,,ZTF20abdnoyu,AT 2020lps,,21.36,,21.36,,2,,"2 detections in g, none prior to neutrino, faint host",,,,20,1,,,,,,
,,,,ZTF20abdnpae,AT 2020lpt,,20.89,,20.89,,2,,"2 detections in g, none prior to neutrino, faint host",,,,20.5,4,,,,,,
,,,,ZTF20abdqzkq,AT 2020lpu,SN?,20.74,20.86,20.74,20.8,4,,"2 detections in g, none prior to neutrino, rising?",,,,21,10,,,,,,
,,,,ZTF20abdrnlg,AT 2020lpv,,,20.87,,21.39,2,,"2 detections in r, 1 prior to neutrino",,,,21.5,14,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
