OVERVIEW,,,,,,,,v2 alerts,42,,,,,,,
,,,,,,,,,,,,,,,,
total number,,43,,,,,,,,,,,,,,
Event,Class,RA,RA Unc (rectangle),Dec,Dec Unc (rectangle),Area (rectangle),Observed area (from Healpix),Observed area (corrected for chip gaps),Signalness,S/B,Energy estimate [TeV],Separation from gal. plane,IC GCN,ZTF ATEL/GCN,Additional ZTF GCN,Additional ZTF GCN
IC201222A,GOLD,206.37,"[0.9, -0.8]",13.44,"[0.55, -0.38]",1.537,2.000,1.40,0.53,0.3447926678,185.78,71.38,https://gcn.gsfc.nasa.gov/gcn3/29120.gcn3,https://gcn.gsfc.nasa.gov/gcn3/29172.gcn3,,
IC210210A,GOLD,206.06,"[1.4, -0.95]",4.78,"[0.62, -0.56]",2.763,2.610,2.05,0.65,0.2352316028,287.41,64.28,https://gcn.gsfc.nasa.gov/gcn3/29454.gcn3,https://gcn.gsfc.nasa.gov/gcn3/29461.gcn3,,
IC210510A,BRONZE,268.42,"[1.47, -1.6]",3.81,"[0.68, -0.64]",4.043,4.128,3.67,0.28,0.06924951712,113.03,14.6,https://gcn.gsfc.nasa.gov/gcn3/29976.gcn3,https://gcn.gsfc.nasa.gov/gcn3/29999.gcn3,,
IC210629A,BRONZE,340.75,"[1.11, -2.23]",12.94,"[0.91, -0.93]",5.990,5.767,4.59,0.35075,0.0585581438,120.95,-39.43,https://gcn.gsfc.nasa.gov/gcn3/30342.gcn3,https://gcn.gsfc.nasa.gov/gcn3/30349.gcn3,,
IC210811A,GOLD,270.79,"[1.07, -1.08]",25.28,"[0.79, -0.84]",3.170,3.029,2.66,0.658,0.2076015884,217.71,21.28,https://gcn.gsfc.nasa.gov/gcn3/30627.gcn3,https://gcn.gsfc.nasa.gov/gcn3/30644.gcn3,,
IC210922A,GOLD,60.73,"[0.96, -0.66]",-4.18,"[0.42, -0.55]",1.567,1.479,1.16,0.925,0.5902664112,750.88,-38.95,https://gcn.gsfc.nasa.gov/gcn3/30862.gcn3,https://gcn.gsfc.nasa.gov/gcn3/30870.gcn3,,
IC220405A,BRONZE,134.47,"[1.71, -1.72]",-1.27,"[1.45, -1.02]",8.47,7.65,7.52,0.32311,0.03814459018,121.823,27.15,https://gcn.gsfc.nasa.gov/gcn3/31833.gcn3,https://gcn.gsfc.nasa.gov/gcn3/31843.gcn3,,
IC220405B,BRONZE,320.62,"[1.37, -1.13]",29.06,"[0.94, -0.68]",3.54,3.71,3.41,0.36433,0.1030438506,106.32,,https://gcn.gsfc.nasa.gov/gcn3/31839.gcn3,https://gcn.gsfc.nasa.gov/gcn3/31842.gcn3,,
IC220501A,BRONZE,311.57,"[0.82, -1.07]",18.68,"[1.08, -0.92]",3.58,3.02,2.47,0.39642,0.1107570959,127.029,-15.01,https://gcn.gsfc.nasa.gov/gcn/gcn3/31986.gcn3,https://gcn.gsfc.nasa.gov/gcn/gcn3/31989.gcn3,,
IC220513A,GOLD,224.03,"[1.36, -1.27]",-1.34,"[0.74, -0.81]",4.08,3.77,1.93,0.56006,0.1374270361,207.941,48.64,https://gcn.gsfc.nasa.gov/gcn3/32037.gcn3,https://gcn.gsfc.nasa.gov/gcn3/32040.gcn3,,
