,sample_name,idx_to_news_sample,dist_to_news_source_arcsec,chunk_number,id,ra,dec,news_ra,news_dec
600,mirong,20370141,30.18515702415566,40,601,194.5287,5.8882,194.52794786,5.89655132
601,mirong,1133791,0.23679851348255773,2,602,194.5866,61.346,194.58671609,61.34596496
602,mirong,1476748,52.351426700447284,2,603,194.745,50.3728,194.72781856,50.36324142
603,mirong,3279078,0.029902987645180297,6,604,194.8198,55.252,194.81978543,55.25200018
604,mirong,1300967,0.23685492776051797,2,605,195.1366,53.8534,195.13659376,53.85346569
605,mirong,28814176,22.93095922184176,57,606,195.1603,32.6744,195.16419114,32.66893699
606,mirong,3634600,110.20657563521993,7,607,195.3814,21.4635,195.39253468,21.43469463
607,mirong,14257237,0.13510663573700246,28,608,195.417,-2.729,195.41697077,-2.72902358
608,mirong,31467359,20.627517946589077,62,609,195.5647,17.4586,195.57012987,17.45615024
609,mirong,3773415,0.08521285699756634,7,610,195.8733,16.4245,195.87332251,16.4245097
610,mirong,1299591,49.27295523294685,2,611,195.9831,22.0608,195.97112851,22.06881498
611,mirong,39579344,55.40414130393721,78,612,196.0889,11.5285,196.08533008,11.51351276
612,mirong,21925678,41.95113374648907,43,613,196.2081,20.6455,196.21563164,20.63622003
613,mirong,39896678,57.43579918896309,79,614,196.3871,39.8939,196.40776406,39.89211628
614,mirong,39899640,23.004570258179484,79,615,196.4305,9.5637,196.43681947,9.56228556
615,mirong,13233246,89.52357018536227,26,616,197.0649,4.486,197.07329096,4.50941848
616,mirong,402947,0.20066891303734033,0,617,197.2061,13.8577,197.2060555,13.85773522
617,mirong,4044958,46.47588751742002,8,618,197.3031,47.8739,197.31603003,47.88346348
618,mirong,827300,0.2892760296371616,1,619,197.4564,-1.85,197.45641802,-1.85007831
619,mirong,4184807,0.03221566258505009,8,620,197.5949,25.3026,197.59489282,25.30259384
620,mirong,1997090,77.48421483361359,3,621,197.6379,39.9165,197.66451471,39.92332708
621,mirong,6796363,0.1663121206920958,13,622,197.8272,46.584,197.82723363,46.58396
622,mirong,26007431,20.138833924065192,51,623,197.9375,22.0031,197.93146643,22.00311269
623,mirong,15413042,30.912167756808238,30,624,198.2904,43.8365,198.29139948,43.82794361
624,mirong,24102287,56.607476460740116,47,625,198.6825,23.8074,198.68832694,23.79260711
625,mirong,31763296,20.89330493469092,62,626,198.7493,51.2726,198.74093824,51.27008695
626,mirong,16933726,41.21205194799387,33,627,198.7889,7.4605,198.79715727,7.46850126
627,mirong,983600,0.25363425958061464,1,628,199.0644,58.2731,199.06438264,58.27303014
628,mirong,2956014,114.38993158189898,5,629,199.2137,5.9464,199.19228521,5.9699796
